Ib_mA,Vce_V,Ic_A,,,,,,,,,,,,,,,,,X--Trace 6::[iib=0.015; I(Q1[IC])],Y--Trace 6::[iib=0.015; I(Q1[IC])]
15,0,-0.0112936,,,,,,,,,,,,,,,,,0,-0.0112936
15,0.1,0.132282,,,,,,,,,,,,,,,,,0.1,0.132282
15,0.2,0.3367,,,,,,,,,,,,,,,,,0.2,0.3367
15,0.3,0.556435,,,,,,,,,,,,,,,,,0.3,0.556435
15,0.4,0.770108,,,,,,,,,,,,,,,,,0.4,0.770108
15,0.5,0.946925,,,,,,,,,,,,,,,,,0.5,0.946925
15,0.6,1.02553,,,,,,,,,,,,,,,,,0.6,1.02553
15,0.7,1.03493,,,,,,,,,,,,,,,,,0.7,1.03493
15,0.8,1.03649,,,,,,,,,,,,,,,,,0.8,1.03649
15,0.9,1.03749,,,,,,,,,,,,,,,,,0.9,1.03749
15,1,1.03852,,,,,,,,,,,,,,,,,1,1.03852
15,1.1,1.03955,,,,,,,,,,,,,,,,,1.1,1.03955
15,1.2,1.04058,,,,,,,,,,,,,,,,,1.2,1.04058
15,1.3,1.04161,,,,,,,,,,,,,,,,,1.3,1.04161
15,1.4,1.04263,,,,,,,,,,,,,,,,,1.4,1.04263
15,1.5,1.04366,,,,,,,,,,,,,,,,,1.5,1.04366
15,1.6,1.04469,,,,,,,,,,,,,,,,,1.6,1.04469
15,1.7,1.04572,,,,,,,,,,,,,,,,,1.7,1.04572
15,1.8,1.04674,,,,,,,,,,,,,,,,,1.8,1.04674
15,1.9,1.04777,,,,,,,,,,,,,,,,,1.9,1.04777
15,2,1.0488,,,,,,,,,,,,,,,,,2,1.0488
15,2.1,1.04983,,,,,,,,,,,,,,,,,2.1,1.04983
15,2.2,1.05086,,,,,,,,,,,,,,,,,2.2,1.05086
15,2.3,1.05188,,,,,,,,,,,,,,,,,2.3,1.05188
15,2.4,1.05291,,,,,,,,,,,,,,,,,2.4,1.05291
15,2.5,1.05394,,,,,,,,,,,,,,,,,2.5,1.05394
15,2.6,1.05497,,,,,,,,,,,,,,,,,2.6,1.05497
15,2.7,1.05599,,,,,,,,,,,,,,,,,2.7,1.05599
15,2.8,1.05702,,,,,,,,,,,,,,,,,2.8,1.05702
15,2.9,1.05805,,,,,,,,,,,,,,,,,2.9,1.05805
15,3,1.05908,,,,,,,,,,,,,,,,,3,1.05908
15,3.1,1.0601,,,,,,,,,,,,,,,,,3.1,1.0601
15,3.2,1.06113,,,,,,,,,,,,,,,,,3.2,1.06113
15,3.3,1.06216,,,,,,,,,,,,,,,,,3.3,1.06216
15,3.4,1.06319,,,,,,,,,,,,,,,,,3.4,1.06319
15,3.5,1.06422,,,,,,,,,,,,,,,,,3.5,1.06422
15,3.6,1.06524,,,,,,,,,,,,,,,,,3.6,1.06524
15,3.7,1.06627,,,,,,,,,,,,,,,,,3.7,1.06627
15,3.8,1.0673,,,,,,,,,,,,,,,,,3.8,1.0673
15,3.9,1.06833,,,,,,,,,,,,,,,,,3.9,1.06833
15,4,1.06935,,,,,,,,,,,,,,,,,4,1.06935
15,4.1,1.07038,,,,,,,,,,,,,,,,,4.1,1.07038
15,4.2,1.07141,,,,,,,,,,,,,,,,,4.2,1.07141
15,4.3,1.07244,,,,,,,,,,,,,,,,,4.3,1.07244
15,4.4,1.07346,,,,,,,,,,,,,,,,,4.4,1.07346
15,4.5,1.07449,,,,,,,,,,,,,,,,,4.5,1.07449
15,4.6,1.07552,,,,,,,,,,,,,,,,,4.6,1.07552
15,4.7,1.07655,,,,,,,,,,,,,,,,,4.7,1.07655
15,4.8,1.07758,,,,,,,,,,,,,,,,,4.8,1.07758
15,4.9,1.0786,,,,,,,,,,,,,,,,,4.9,1.0786
15,5,1.07963,,,,,,,,,,,,,,,,,5,1.07963
15,5.1,1.08066,,,,,,,,,,,,,,,,,5.1,1.08066
15,5.2,1.08169,,,,,,,,,,,,,,,,,5.2,1.08169
15,5.3,1.08271,,,,,,,,,,,,,,,,,5.3,1.08271
15,5.4,1.08374,,,,,,,,,,,,,,,,,5.4,1.08374
15,5.5,1.08477,,,,,,,,,,,,,,,,,5.5,1.08477
15,5.6,1.0858,,,,,,,,,,,,,,,,,5.6,1.0858
15,5.7,1.08682,,,,,,,,,,,,,,,,,5.7,1.08682
15,5.8,1.08785,,,,,,,,,,,,,,,,,5.8,1.08785
15,5.9,1.08888,,,,,,,,,,,,,,,,,5.9,1.08888
15,6,1.08991,,,,,,,,,,,,,,,,,6,1.08991
15,6.1,1.09094,,,,,,,,,,,,,,,,,6.1,1.09094
15,6.2,1.09196,,,,,,,,,,,,,,,,,6.2,1.09196
15,6.3,1.09299,,,,,,,,,,,,,,,,,6.3,1.09299
15,6.4,1.09402,,,,,,,,,,,,,,,,,6.4,1.09402
15,6.5,1.09505,,,,,,,,,,,,,,,,,6.5,1.09505
15,6.6,1.09607,,,,,,,,,,,,,,,,,6.6,1.09607
15,6.7,1.0971,,,,,,,,,,,,,,,,,6.7,1.0971
15,6.8,1.09813,,,,,,,,,,,,,,,,,6.8,1.09813
15,6.9,1.09916,,,,,,,,,,,,,,,,,6.9,1.09916
15,7,1.10018,,,,,,,,,,,,,,,,,7,1.10018
15,7.1,1.10121,,,,,,,,,,,,,,,,,7.1,1.10121
15,7.2,1.10224,,,,,,,,,,,,,,,,,7.2,1.10224
15,7.3,1.10327,,,,,,,,,,,,,,,,,7.3,1.10327
15,7.4,1.1043,,,,,,,,,,,,,,,,,7.4,1.1043
15,7.5,1.10532,,,,,,,,,,,,,,,,,7.5,1.10532
15,7.6,1.10635,,,,,,,,,,,,,,,,,7.6,1.10635
15,7.7,1.10738,,,,,,,,,,,,,,,,,7.7,1.10738
15,7.8,1.10841,,,,,,,,,,,,,,,,,7.8,1.10841
15,7.9,1.10943,,,,,,,,,,,,,,,,,7.9,1.10943
15,8,1.11046,,,,,,,,,,,,,,,,,8,1.11046
15,8.1,1.11149,,,,,,,,,,,,,,,,,8.1,1.11149
15,8.2,1.11252,,,,,,,,,,,,,,,,,8.2,1.11252
15,8.3,1.11355,,,,,,,,,,,,,,,,,8.3,1.11355
15,8.4,1.11457,,,,,,,,,,,,,,,,,8.4,1.11457
15,8.5,1.1156,,,,,,,,,,,,,,,,,8.5,1.1156
15,8.6,1.11663,,,,,,,,,,,,,,,,,8.6,1.11663
15,8.7,1.11766,,,,,,,,,,,,,,,,,8.7,1.11766
15,8.8,1.11868,,,,,,,,,,,,,,,,,8.8,1.11868
15,8.9,1.11971,,,,,,,,,,,,,,,,,8.9,1.11971
15,9,1.12074,,,,,,,,,,,,,,,,,9,1.12074
15,9.1,1.12177,,,,,,,,,,,,,,,,,9.1,1.12177
15,9.2,1.12279,,,,,,,,,,,,,,,,,9.2,1.12279
15,9.3,1.12382,,,,,,,,,,,,,,,,,9.3,1.12382
15,9.4,1.12485,,,,,,,,,,,,,,,,,9.4,1.12485
15,9.5,1.12588,,,,,,,,,,,,,,,,,9.5,1.12588
15,9.6,1.12691,,,,,,,,,,,,,,,,,9.6,1.12691
15,9.7,1.12793,,,,,,,,,,,,,,,,,9.7,1.12793
15,9.8,1.12896,,,,,,,,,,,,,,,,,9.8,1.12896
15,9.9,1.12999,,,,,,,,,,,,,,,,,9.9,1.12999
15,10,1.13102,,,,,,,,,,,,,,,,,10,1.13102
12,0,-0.00913304,,,,,,,,,,,,,,,,,,
12,0.1,0.124025,,,,,,,,,,,,,,,,,,
12,0.2,0.322468,,,,,,,,,,,,,,,,,,
12,0.3,0.534981,,,,,,,,,,,,,,,,,,
12,0.4,0.733298,,,,,,,,,,,,,,,,,,
12,0.5,0.868603,,,,,,,,,,,,,,,,,,
12,0.6,0.90242,,,,,,,,,,,,,,,,,,
12,0.7,0.905436,,,,,,,,,,,,,,,,,,
12,0.8,0.906464,,,,,,,,,,,,,,,,,,
12,0.9,0.907366,,,,,,,,,,,,,,,,,,
12,1,0.908265,,,,,,,,,,,,,,,,,,
12,1.1,0.909164,,,,,,,,,,,,,,,,,,
12,1.2,0.910062,,,,,,,,,,,,,,,,,,
12,1.3,0.910961,,,,,,,,,,,,,,,,,,
12,1.4,0.911859,,,,,,,,,,,,,,,,,,
12,1.5,0.912758,,,,,,,,,,,,,,,,,,
12,1.6,0.913656,,,,,,,,,,,,,,,,,,
12,1.7,0.914555,,,,,,,,,,,,,,,,,,
12,1.8,0.915453,,,,,,,,,,,,,,,,,,
12,1.9,0.916352,,,,,,,,,,,,,,,,,,
12,2,0.917251,,,,,,,,,,,,,,,,,,
12,2.1,0.918149,,,,,,,,,,,,,,,,,,
12,2.2,0.919048,,,,,,,,,,,,,,,,,,
12,2.3,0.919946,,,,,,,,,,,,,,,,,,
12,2.4,0.920845,,,,,,,,,,,,,,,,,,
12,2.5,0.921743,,,,,,,,,,,,,,,,,,
12,2.6,0.922642,,,,,,,,,,,,,,,,,,
12,2.7,0.92354,,,,,,,,,,,,,,,,,,
12,2.8,0.924439,,,,,,,,,,,,,,,,,,
12,2.9,0.925338,,,,,,,,,,,,,,,,,,
12,3,0.926236,,,,,,,,,,,,,,,,,,
12,3.1,0.927135,,,,,,,,,,,,,,,,,,
12,3.2,0.928033,,,,,,,,,,,,,,,,,,
12,3.3,0.928932,,,,,,,,,,,,,,,,,,
12,3.4,0.92983,,,,,,,,,,,,,,,,,,
12,3.5,0.930729,,,,,,,,,,,,,,,,,,
12,3.6,0.931627,,,,,,,,,,,,,,,,,,
12,3.7,0.932526,,,,,,,,,,,,,,,,,,
12,3.8,0.933425,,,,,,,,,,,,,,,,,,
12,3.9,0.934323,,,,,,,,,,,,,,,,,,
12,4,0.935222,,,,,,,,,,,,,,,,,,
12,4.1,0.93612,,,,,,,,,,,,,,,,,,
12,4.2,0.937019,,,,,,,,,,,,,,,,,,
12,4.3,0.937917,,,,,,,,,,,,,,,,,,
12,4.4,0.938816,,,,,,,,,,,,,,,,,,
12,4.5,0.939714,,,,,,,,,,,,,,,,,,
12,4.6,0.940613,,,,,,,,,,,,,,,,,,
12,4.7,0.941512,,,,,,,,,,,,,,,,,,
12,4.8,0.94241,,,,,,,,,,,,,,,,,,
12,4.9,0.943309,,,,,,,,,,,,,,,,,,
12,5,0.944207,,,,,,,,,,,,,,,,,,
12,5.1,0.945106,,,,,,,,,,,,,,,,,,
12,5.2,0.946004,,,,,,,,,,,,,,,,,,
12,5.3,0.946903,,,,,,,,,,,,,,,,,,
12,5.4,0.947801,,,,,,,,,,,,,,,,,,
12,5.5,0.9487,,,,,,,,,,,,,,,,,,
12,5.6,0.949599,,,,,,,,,,,,,,,,,,
12,5.7,0.950497,,,,,,,,,,,,,,,,,,
12,5.8,0.951396,,,,,,,,,,,,,,,,,,
12,5.9,0.952294,,,,,,,,,,,,,,,,,,
12,6,0.953193,,,,,,,,,,,,,,,,,,
12,6.1,0.954091,,,,,,,,,,,,,,,,,,
12,6.2,0.95499,,,,,,,,,,,,,,,,,,
12,6.3,0.955888,,,,,,,,,,,,,,,,,,
12,6.4,0.956787,,,,,,,,,,,,,,,,,,
12,6.5,0.957686,,,,,,,,,,,,,,,,,,
12,6.6,0.958584,,,,,,,,,,,,,,,,,,
12,6.7,0.959483,,,,,,,,,,,,,,,,,,
12,6.8,0.960381,,,,,,,,,,,,,,,,,,
12,6.9,0.96128,,,,,,,,,,,,,,,,,,
12,7,0.962178,,,,,,,,,,,,,,,,,,
12,7.1,0.963077,,,,,,,,,,,,,,,,,,
12,7.2,0.963975,,,,,,,,,,,,,,,,,,
12,7.3,0.964874,,,,,,,,,,,,,,,,,,
12,7.4,0.965773,,,,,,,,,,,,,,,,,,
12,7.5,0.966671,,,,,,,,,,,,,,,,,,
12,7.6,0.96757,,,,,,,,,,,,,,,,,,
12,7.7,0.968468,,,,,,,,,,,,,,,,,,
12,7.8,0.969367,,,,,,,,,,,,,,,,,,
12,7.9,0.970265,,,,,,,,,,,,,,,,,,
12,8,0.971164,,,,,,,,,,,,,,,,,,
12,8.1,0.972062,,,,,,,,,,,,,,,,,,
12,8.2,0.972961,,,,,,,,,,,,,,,,,,
12,8.3,0.97386,,,,,,,,,,,,,,,,,,
12,8.4,0.974758,,,,,,,,,,,,,,,,,,
12,8.5,0.975657,,,,,,,,,,,,,,,,,,
12,8.6,0.976555,,,,,,,,,,,,,,,,,,
12,8.7,0.977454,,,,,,,,,,,,,,,,,,
12,8.8,0.978352,,,,,,,,,,,,,,,,,,
12,8.9,0.979251,,,,,,,,,,,,,,,,,,
12,9,0.980149,,,,,,,,,,,,,,,,,,
12,9.1,0.981048,,,,,,,,,,,,,,,,,,
12,9.2,0.981947,,,,,,,,,,,,,,,,,,
12,9.3,0.982845,,,,,,,,,,,,,,,,,,
12,9.4,0.983744,,,,,,,,,,,,,,,,,,
12,9.5,0.984642,,,,,,,,,,,,,,,,,,
12,9.6,0.985541,,,,,,,,,,,,,,,,,,
12,9.7,0.986439,,,,,,,,,,,,,,,,,,
12,9.8,0.987338,,,,,,,,,,,,,,,,,,
12,9.9,0.988236,,,,,,,,,,,,,,,,,,
12,10,0.989135,,,,,,,,,,,,,,,,,,
9,0,-0.00695198,,,,,,,,,,,,,,,,,,
9,0.1,0.112692,,,,,,,,,,,,,,,,,,
9,0.2,0.302663,,,,,,,,,,,,,,,,,,
9,0.3,0.5032,,,,,,,,,,,,,,,,,,
9,0.4,0.672851,,,,,,,,,,,,,,,,,,
9,0.5,0.748354,,,,,,,,,,,,,,,,,,
9,0.6,0.757643,,,,,,,,,,,,,,,,,,
9,0.7,0.758918,,,,,,,,,,,,,,,,,,
9,0.8,0.759632,,,,,,,,,,,,,,,,,,
9,0.9,0.760386,,,,,,,,,,,,,,,,,,
9,1,0.761139,,,,,,,,,,,,,,,,,,
9,1.1,0.761892,,,,,,,,,,,,,,,,,,
9,1.2,0.762644,,,,,,,,,,,,,,,,,,
9,1.3,0.763397,,,,,,,,,,,,,,,,,,
9,1.4,0.76415,,,,,,,,,,,,,,,,,,
9,1.5,0.764903,,,,,,,,,,,,,,,,,,
9,1.6,0.765655,,,,,,,,,,,,,,,,,,
9,1.7,0.766408,,,,,,,,,,,,,,,,,,
9,1.8,0.767161,,,,,,,,,,,,,,,,,,
9,1.9,0.767913,,,,,,,,,,,,,,,,,,
9,2,0.768666,,,,,,,,,,,,,,,,,,
9,2.1,0.769419,,,,,,,,,,,,,,,,,,
9,2.2,0.770172,,,,,,,,,,,,,,,,,,
9,2.3,0.770924,,,,,,,,,,,,,,,,,,
9,2.4,0.771677,,,,,,,,,,,,,,,,,,
9,2.5,0.77243,,,,,,,,,,,,,,,,,,
9,2.6,0.773183,,,,,,,,,,,,,,,,,,
9,2.7,0.773935,,,,,,,,,,,,,,,,,,
9,2.8,0.774688,,,,,,,,,,,,,,,,,,
9,2.9,0.775441,,,,,,,,,,,,,,,,,,
9,3,0.776194,,,,,,,,,,,,,,,,,,
9,3.1,0.776946,,,,,,,,,,,,,,,,,,
